,Profit,slope_3_bars,slope_10_bars,slope_30_bars,slope_75_bars,slope_200_bars,num_of_succsess_buy_before,num_of_success_sell_before,num_of_fail_buy_before,num_of_fail_sell_before,num_of_succsess_op_buy_before,num_of_success_op_sell_before,num_of_fail_op_buy_before,num_of_fail_op_sell_before,opposite_ind,forcast_value
92,-4.34,-1.0855354337406762,0.3737391264998259,1.4471968705704343,1.828438652784387,0.8953470622876131,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
93,-4.34,-1.0855354337406762,1.3256599779189042,1.9057397718671494,2.1491696258261253,1.1125231328942695,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
94,-4.34,-1.0855354337406762,0.02831862608543435,-1.734822725840022,-2.8328343785327124,-1.480803780049031,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
95,4.33,0.918143448557711,-1.4422317693351907,1.1531110282514914,2.060887535387876,1.2991391384530204,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
96,4.33,0.918143448557711,0.17217852116075505,0.2576985656671483,-0.7023856897258015,-1.5054827340890773,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
97,-4.34,-1.0855354337406762,-0.10165814668073571,-0.7086102295794547,-0.6413552147004337,1.409582677622757,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
98,4.34,0.9204544968648602,1.4275672240508488,0.3904686841337293,-0.08312491710145899,1.9652907368326331,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
99,4.33,0.918143448557711,-0.505139537171764,-1.501442389420172,-0.307886830529936,-2.108317161135481,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
100,4.33,0.918143448557711,0.4753029708859404,0.6343323431485139,-0.13768889210679938,1.4605283700272713,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
101,4.34,0.9204544968648602,0.6928193982948813,1.1851628248281358,0.8639801801567313,1.0986932025510454,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
102,-4.34,-1.0855354337406762,0.434204367451031,0.11670457994139925,0.251433292438824,0.7009954602239636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
103,4.35,0.9227655451720095,-1.472169127750822,-1.3711325329767685,-1.5138580763817886,-1.891538296433622,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
104,-4.35,-1.0878464820478253,0.45039655876999146,0.6686885597664487,1.5562617768922657,1.733627057598809,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
105,-4.35,-1.0878464820478253,1.9998247970520442,1.7623316291309314,2.288855750602181,2.2765751508910257,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0
106,4.35,0.9227655451720095,2.986776437022371,2.9086923103332065,2.584923701333855,3.043079691843724,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0
107,4.35,0.9227655451720095,0.7134787649302322,2.7458792786803454,2.291474861791807,3.023506186158549,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
108,-4.35,-1.0878464820478253,-0.34432262229146143,0.9778378599931628,-2.1624492924421608,-2.4674005341479845,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
